Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean,is_industry,is_valid,has_duplicate
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,code-gen,635,2023-05-05 20:04:05,2023-05-05 20:04:05,TRUE,"Attention](https://arxiv.org/abs/1911.02150),",https://arxiv.org/abs/1911.02150,,TRUE,
openbmb/MiniCPM-S-1B-sft,code generation,606,2024-06-03 6:13:03,2024-06-03 6:13:03,TRUE,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516,,TRUE,
nvidia/Minitron-4B-Base,code generation,602,2024-07-19 20:14:37,2024-07-19 20:14:37,TRUE,paper](https://arxiv.org/abs/2407.14679),https://arxiv.org/abs/2407.14679,TRUE,TRUE,TRUE
Salesforce/codegen2-7B_P,codegen,597,2023-04-26 16:04:49,2023-04-26 16:04:49,TRUE,Languages](https://arxiv.org/abs/2305.02309),https://arxiv.org/abs/2305.02309,TRUE,TRUE,
GPT4All-Community/Phi-3.5-mini-instruct-GGUF,code generation,596,2024-08-22 23:15:47,2024-08-22 23:15:47,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,,,TRUE
QuantFactory/Hermes-3-Llama-3.1-8B-GGUF,code generation,585,2024-08-16 15:34:39,2024-08-16 15:34:39,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,,,TRUE
Qwen/Qwen2.5-Coder-1.5B-Instruct-GGUF,code generation,576,2024-09-18 13:58:16,2024-09-18 13:58:16,TRUE,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186,TRUE,,
m-a-p/OpenCodeInterpreter-DS-1.3B,code generation,569,2024-02-26 6:31:38,2024-02-26 6:31:38,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,TRUE,TRUE
unsloth/Hermes-3-Llama-3.1-8B-bnb-4bit,code generation,557,2024-09-02 21:44:04,2024-09-02 21:44:04,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
Qwen/Qwen2.5-Coder-1.5B,code generation,533,2024-09-18 9:41:38,2024-09-18 9:41:38,TRUE,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186,TRUE,TRUE,
ibm-granite/granite-3b-code-instruct-128k,code generation,525,2024-07-12 5:02:47,2024-07-12 5:02:47,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-8B-v0.1-gguf,code generation,520,2024-08-21 4:40:14,2024-08-21 4:40:14,TRUE,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733,,,TRUE
Qwen/Qwen2.5-Coder-7B,code generation,519,2024-09-16 11:57:24,2024-09-16 11:57:24,TRUE,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186,TRUE,TRUE,
WizardLMTeam/WizardCoder-33B-V1.1,code generation,511,2024-01-04 9:15:02,2024-01-04 9:15:02,TRUE,"href=""https://arxiv.org/abs/2304.12244""",https://arxiv.org/abs/2304.12244,,TRUE,TRUE
RichardErkhov/ibm-granite_-_granite-20b-code-base-8k-gguf,code generation,512,2024-09-15 20:49:43,2024-09-15 20:49:43,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
QuantFactory/Llama-3.1-Minitron-4B-Depth-Base-GGUF,code generation,510,2024-08-22 2:27:06,2024-08-22 2:27:06,TRUE,Understanding](https://arxiv.org/abs/2009.03300):,https://arxiv.org/abs/2009.03300,,,
SparseLLM/prosparse-llama-2-7b,code generation,498,2024-02-19 6:52:21,2024-02-19 6:52:21,TRUE,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516,,TRUE,
ibm-granite/granite-3b-code-base-128k,code generation,480,2024-06-29 1:24:38,2024-06-29 1:24:38,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
Salesforce/codegen2-3_7B_P,codegen,475,2023-04-25 2:08:59,2023-04-25 2:08:59,TRUE,Languages](https://arxiv.org/abs/2305.02309),https://arxiv.org/abs/2305.02309,TRUE,TRUE,
Qwen/Qwen2.5-Coder-1.5B-Instruct,code generation,475,2024-09-18 9:41:47,2024-09-18 9:41:47,TRUE,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186,TRUE,TRUE,
ibm-granite/granite-8b-code-base-128k,code generation,472,2024-06-29 1:34:19,2024-06-29 1:34:19,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
crusoeai/Arcee-Agent-GGUF,code generation,469,2024-07-02 19:39:23,2024-07-02 19:39:23,TRUE,[Spectrum](https://arxiv.org/abs/2406.06623).,https://arxiv.org/abs/2406.06623,,,
Salesforce/instructcodet5p-16b,code generation,445,2023-05-16 13:28:22,2023-05-16 13:28:22,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,TRUE,TRUE
LoneStriker/OpenCodeInterpreter-DS-33B-GGUF,code generation,433,2024-02-24 15:19:19,2024-02-24 15:19:19,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,TRUE
nvidia/Minitron-8B-Base,code generation,433,2024-07-19 20:12:11,2024-07-19 20:12:11,TRUE,paper](https://arxiv.org/abs/2407.14679),https://arxiv.org/abs/2407.14679,TRUE,TRUE,TRUE
